,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group
1264,69,17.61061947,298.172469,1780.003628,80.03255575,1.00961715,9.601769912,246.2059646,1790.293628,86.92132832,13.07867062,1.021597283,0.644061397,573.0390089,441.4083672,6.444036042,140.7008005,432.6684614,9.925850745,0.119046458,4.104744256,62.42244099,496.319764,3.785734482,3.78573536,0.132765673,0.100876517,208.2382012,104.894147,113,cell,NADH,FAD,CD4 Spleen FOV3
1265,72,15.53731343,180.009594,1410.135045,83.45398358,1.056048791,13.80597015,131.4621493,1382.453313,92.14568358,7.854320896,0.939061567,0.538316783,376.9637069,219.8025648,6.160303904,62.43202683,395.6745009,5.175634413,0.094863679,6.583355518,14.08604533,253.2726494,4.653237252,4.653233776,0.115972919,0.105440939,117.220387,44.71819522,67,cell,NADH,FAD,CD4 Spleen FOV3
1266,73,13.29411765,190.5985824,1804.112941,85.36646471,0.961666059,7.647058824,190.6285882,1173.215,76.8529,23.1471,1.000028647,0.652923896,404.7665895,403.0390665,5.217335358,59.29560146,418.955624,7.951005506,0.13025947,4.689631868,79.68468096,390.4568698,6.720912528,6.720912528,0.057711018,0.149350334,122.0142276,104.2878668,17,cell,NADH,FAD,CD4 Spleen FOV3
1267,75,18.04347826,227.872287,1825.585304,83.33828522,1.017239435,10.09565217,206.282087,1803.712522,88.78382609,11.21617339,1.023535913,0.647103927,484.6288989,382.1165784,7.719184695,112.5105626,386.1746562,6.903826991,0.086994775,5.311315153,38.42560382,273.3787535,2.734277007,2.734277092,0.125275334,0.098588227,188.0639311,67.19063395,115,cell,NADH,FAD,CD4 Spleen FOV3
1268,76,17.42857143,250.8472143,2234.862857,91.12002143,0.967187786,10.85714286,271.4031429,1333.977143,80.48503571,19.51496429,0.775735643,0.600670228,428.8301346,476.4427809,11.26406325,129.82088,378.79913,2.312889644,0.15008133,6.769355643,61.38917466,120.4354897,4.29279514,4.29279514,0.081060364,0.143395736,188.0603297,90.64726148,14,cell,NADH,FAD,CD4 Spleen FOV3
1269,78,19.30769231,194.3207092,1867.710308,86.75164,0.962945677,12.53846154,141.7829938,1220.848185,84.87894154,15.12105892,1.111731585,0.627956165,401.9568369,285.7612066,8.622142782,74.99640564,440.0474076,6.249222479,0.114506905,8.179771014,29.86115816,371.2980626,7.729812042,7.72981179,0.14215924,0.097766513,134.1433331,53.32689079,65,cell,NADH,FAD,CD4 Spleen FOV3
1270,79,10.57692308,197.3148846,1706.637692,87.30012692,0.9755875,7.307692308,238.5919615,1710.163077,86.87768846,13.12231038,0.966678615,0.599770148,381.491176,414.7625826,3.941300059,52.20697092,305.9869472,4.462898842,0.090926307,3.530090432,61.00314262,461.7291896,5.525687117,5.525687664,0.092249562,0.133005107,89.70710916,73.91947173,26,cell,NADH,FAD,CD4 Spleen FOV3
1271,81,18.19047619,257.757619,2349.63,80.67296667,0.98048581,9.380952381,304.3201905,1733.367143,84.05411905,15.94588238,1.053529238,0.672048757,638.274654,522.0488551,7.909608382,35.37129003,466.2512101,5.872738652,0.065371199,5.074211175,36.69326949,360.8132646,3.64200739,3.642004704,0.088490559,0.085647194,62.64439412,41.59046438,21,cell,NADH,FAD,CD4 Spleen FOV3
1272,82,15.93333333,131.7198,1278.088667,88.25106667,0.988500667,10.26666667,223.323,2283.018,93.89716,6.102840667,1.052151467,0.620111769,268.7078906,349.747679,6.261750858,123.2413614,252.5612189,4.180609013,0.094047301,4.511361319,27.48467363,211.0268854,1.958649914,1.95865467,0.079813771,0.095615495,167.5932458,66.21861091,15,cell,NADH,FAD,CD4 Spleen FOV3
1273,84,11.91836735,123.4993184,1507.692286,89.36832449,1.016668429,7.795918367,249.2268571,2149.126122,88.96392449,11.03607102,1.027048347,0.603173661,264.6505861,450.3805077,4.563609384,23.18711604,256.4481363,3.490478202,0.112792182,3.095558591,66.4971853,473.0351568,2.703242906,2.703247752,0.13767424,0.107794239,50.32590705,77.10292394,49,cell,NADH,FAD,CD4 Spleen FOV3
